0,s
1001.80c elastic,0
1001.80c inelastic,0
1001.80c fission,0
1001.80c n2n,0
1001.80c ngamma,0
1001.80c np,0
1001.80c nd,0
1001.80c nt,0
1001.80c n3he,0
1001.80c nalpha,0
1001.80c total nu,0
1001.80c fission chi,0
6000.80c elastic,0
6000.80c inelastic,0
6000.80c fission,0
6000.80c n2n,0
6000.80c ngamma,0
6000.80c np,0
6000.80c nd,0
6000.80c nt,0
6000.80c n3he,0
6000.80c nalpha,0
6000.80c total nu,0
6000.80c fission chi,0
7014.80c elastic,0
7014.80c inelastic,0
7014.80c fission,0
7014.80c n2n,0
7014.80c ngamma,0
7014.80c np,0
7014.80c nd,0
7014.80c nt,0
7014.80c n3he,0
7014.80c nalpha,0
7014.80c total nu,0
7014.80c fission chi,0
8016.80c elastic,0
8016.80c inelastic,0
8016.80c fission,0
8016.80c n2n,0
8016.80c ngamma,0
8016.80c np,0
8016.80c nd,0
8016.80c nt,0
8016.80c n3he,0
8016.80c nalpha,0
8016.80c total nu,0
8016.80c fission chi,0
8017.80c elastic,0
8017.80c inelastic,0
8017.80c fission,0
8017.80c n2n,0
8017.80c ngamma,0
8017.80c np,0
8017.80c nd,0
8017.80c nt,0
8017.80c n3he,0
8017.80c nalpha,0
8017.80c total nu,0
8017.80c fission chi,0
13027.80c elastic,0
13027.80c inelastic,0
13027.80c fission,0
13027.80c n2n,0
13027.80c ngamma,0
13027.80c np,0
13027.80c nd,0
13027.80c nt,0
13027.80c n3he,0
13027.80c nalpha,0
13027.80c total nu,0
13027.80c fission chi,0
25055.80c elastic,0
25055.80c inelastic,0
25055.80c fission,0
25055.80c n2n,0
25055.80c ngamma,0
25055.80c np,0
25055.80c nd,0
25055.80c nt,0
25055.80c n3he,0
25055.80c nalpha,0
25055.80c total nu,0
25055.80c fission chi,0
26054.80c elastic,0
26054.80c inelastic,0
26054.80c fission,0
26054.80c n2n,0
26054.80c ngamma,0
26054.80c np,0
26054.80c nd,0
26054.80c nt,0
26054.80c n3he,0
26054.80c nalpha,0
26054.80c total nu,0
26054.80c fission chi,0
26056.80c elastic,0
26056.80c inelastic,0
26056.80c fission,0
26056.80c n2n,0
26056.80c ngamma,0
26056.80c np,0
26056.80c nd,0
26056.80c nt,0
26056.80c n3he,0
26056.80c nalpha,0
26056.80c total nu,0
26056.80c fission chi,0
26057.80c elastic,0
26057.80c inelastic,0
26057.80c fission,0
26057.80c n2n,0
26057.80c ngamma,0
26057.80c np,0
26057.80c nd,0
26057.80c nt,0
26057.80c n3he,0
26057.80c nalpha,0
